Gastag;SLPsyn H-Gas;SLPana H-Gas;SLPsyn L-Gas;SLPana L-Gas;RLMmT H-Gas;RLMmT L-Gas;RLMoT H-Gas;RLMoT L-Gas;Status
22.03.2022;864.303.024;187.305.288;182.851.056;64.014.600;1.471.521.576;207.637.104;78.198.597;6.492.750;vorläufig
21.03.2022;929.294.400;199.165.392;201.310.944;62.603.568;1.456.996.872;208.875.024;79.908.077;6.447.078;vorläufig
20.03.2022;976.382.136;203.980.056;236.098.296;65.220.192;1.139.645.760;188.230.776;72.010.784;1.476.955;vorläufig
19.03.2022;973.048.056;213.910.608;232.537.224;71.802.528;1.123.041.504;188.705.112;66.659.003;1.199.309;vorläufig
18.03.2022;919.696.128;200.974.896;228.906.024;64.096.920;1.390.802.736;222.444.528;77.656.999;4.243.331;vorläufig
17.03.2022;878.316.048;198.236.688;216.732.552;71.927.664;1.497.315.552;225.020.064;85.158.498;6.897.999;vorläufig
16.03.2022;869.765.064;194.482.608;208.118.232;63.523.032;1.401.419.544;304.373.760;85.206.577;4.979.191;vorläufig
15.03.2022;975.787.056;200.232.648;228.614.760;59.443.752;1.604.738.064;233.205.480;79.302.057;11.519.895;vorläufig
14.03.2022;992.362.824;213.190.032;217.747.296;61.539.624;1.520.588.928;224.461.824;85.812.774;8.444.965;vorläufig
13.03.2022;1.029.922.872;227.661.912;213.595.176;68.271.720;1.170.901.392;178.424.280;72.872.568;1.570.506;vorläufig
12.03.2022;1.108.997.400;231.922.392;236.478.792;75.695.112;1.168.461.600;179.075.712;76.054.917;1.265.538;vorläufig
11.03.2022;1.206.201.528;247.610.568;255.039.120;79.280.496;1.325.654.952;214.953.816;75.933.382;1.406.709;vorläufig
10.03.2022;1.211.041.512;258.074.184;263.936.496;86.187.912;1.402.852.008;226.850.520;81.838.534;3.687.051;vorläufig
09.03.2022;1.340.851.392;269.590.680;303.824.256;93.327.336;1.531.247.712;236.771.640;89.029.510;4.360.321;vorläufig
08.03.2022;1.467.133.968;285.003.696;336.256.704;95.373.984;1.595.094.936;248.567.616;92.829.564;8.512.442;vorläufig
07.03.2022;1.553.103.912;278.524.056;360.675.120;90.534.216;1.708.078.440;252.993.768;99.047.407;8.761.225;vorläufig
06.03.2022;1.514.676.840;282.794.664;353.494.296;90.312.408;1.422.843.312;216.095.256;103.045.692;1.672.903;vorläufig
05.03.2022;1.458.073.896;275.175.936;338.725.800;87.446.304;1.308.875.112;195.351.096;102.943.994;1.053.507;vorläufig
04.03.2022;1.443.135.864;272.186.160;333.258.648;86.211.672;1.536.568.296;232.355.856;106.321.094;5.261.480;vorläufig
03.03.2022;1.400.955.288;270.080.736;317.478.984;89.222.616;1.636.909.488;247.869.672;108.917.707;4.833.930;vorläufig
02.03.2022;1.405.964.448;275.191.704;318.197.640;88.052.352;1.866.995.352;242.964.912;99.707.735;5.884.338;vorläufig
01.03.2022;1.447.936.896;273.932.904;328.517.304;90.221.928;1.731.439.440;243.813.624;105.601.467;9.401.643;vorläufig
28.02.2022;1.440.137.952;278.678.160;330.689.496;93.075.480;1.594.214.856;242.196.960;97.380.077;7.746.848;korrigiert
27.02.2022;1.377.681.528;271.807.800;325.921.056;97.041.360;1.345.766.976;216.406.344;89.674.123;2.151.818;korrigiert
26.02.2022;1.300.333.944;249.027.576;317.711.376;86.598.384;1.383.710.808;219.316.272;96.059.750;4.455.531;korrigiert
25.02.2022;1.236.448.056;244.163.040;308.021.952;80.753.040;1.524.105.000;248.364.840;97.067.371;4.899.677;korrigiert
24.02.2022;1.101.627.720;247.403.616;281.761.680;90.576.840;1.485.596.472;247.455.048;86.828.732;4.085.375;korrigiert
23.02.2022;1.132.143.072;258.754.176;282.406.632;94.224.072;1.533.272.112;238.502.376;96.714.892;4.446.232;korrigiert
22.02.2022;1.147.187.304;244.272.312;285.356.832;84.418.824;1.515.602.760;246.744.696;93.866.418;4.478.051;korrigiert
21.02.2022;1.120.032.288;248.890.032;281.308.968;85.502.976;1.493.158.056;251.812.152;88.026.008;4.655.350;korrigiert
20.02.2022;1.013.506.296;235.871.400;251.233.824;79.975.056;1.204.625.064;200.325.000;79.889.804;1.218.972;korrigiert
19.02.2022;1.042.427.088;526.805.496;265.885.560;78.222.072;1.233.009.192;197.114.832;83.400.013;1.209.806;korrigiert
18.02.2022;937.336.680;595.904.112;242.808.816;75.381.600;1.404.022.752;224.344.008;89.718.731;3.864.838;korrigiert
17.02.2022;931.668.528;233.679.288;232.398.456;84.070.872;1.422.916.128;231.985.704;83.129.524;5.210.416;korrigiert
16.02.2022;987.367.776;232.545.144;229.951.464;81.617.520;1.465.424.184;229.262.520;85.194.913;5.990.313;korrigiert
15.02.2022;1.169.527.584;253.484.352;274.325.688;90.055.608;1.517.695.104;241.411.176;92.565.364;7.770.128;korrigiert
14.02.2022;1.223.032.368;264.204.792;280.767.384;97.879.320;1.479.423.312;237.715.296;88.306.615;6.689.299;korrigiert
13.02.2022;1.355.781.720;277.637.520;326.128.872;96.580.272;1.289.597.712;209.498.592;86.399.609;4.362.986;korrigiert
12.02.2022;1.409.798.136;265.288.056;343.149.264;92.130.912;1.374.916.176;219.743.544;98.039.121;6.888.727;korrigiert
11.02.2022;1.295.344.392;253.325.568;316.942.368;85.550.952;1.626.196.128;248.171.160;105.875.511;11.304.840;korrigiert
