Date;Natural gas import price DE, EUR/MWh
01.01.2021;15.58651272
01.02.2021;15.78875476
01.03.2021;15.56604296
01.04.2021;16.08513306
01.05.2021;17.86607608
01.06.2021;19.06580063
01.07.2021;21.24723648
01.08.2021;22.44153568
01.09.2021;26.82491696
01.10.2021;40.55653859
01.11.2021;45.40325034
01.12.2021;53.73290671
01.01.2022;53.37611804
01.02.2022;47.88592194
01.03.2022;69.50736643
01.04.2022;67.96311381
01.05.2022;63.98144643
