, gas pps [TWh_el/day],scaled_to_AGEBL_2020 [TWh_gas/day]
2017-01-19 00:00:00+01:00,0.161421,0.22415370905689438
2017-01-20 00:00:00+01:00,0.15113374999999998,0.20986854638601796
2017-01-21 00:00:00+01:00,0.13437024999999994,0.18659028208474823
2017-01-22 00:00:00+01:00,0.10726425000000002,0.14895013341948066
2017-01-23 00:00:00+01:00,0.15947024999999995,0.2214448431228291
2017-01-24 00:00:00+01:00,0.1817245,0.2523477162296702
2017-01-25 00:00:00+01:00,0.16368975,0.22730415867263723
2017-01-26 00:00:00+01:00,0.12880075000000002,0.17885631882970487
2017-01-27 00:00:00+01:00,0.12660574999999996,0.17580828052378497
2017-01-28 00:00:00+01:00,0.10371324999999997,0.14401911564074651
2017-01-29 00:00:00+01:00,0.07997550000000006,0.11105621300004132
2017-01-30 00:00:00+01:00,0.12169624999999998,0.16899081170241217
2017-01-31 00:00:00+01:00,0.15546874999999996,0.21588824846171834
2017-02-01 00:00:00+01:00,0.12756725,0.1771434462782916
2017-02-02 00:00:00+01:00,0.0988555,0.13727350831474108
2017-02-03 00:00:00+01:00,0.10084125000000001,0.1400309762263494
2017-02-04 00:00:00+01:00,0.07107124999999997,0.09869152275608377
2017-02-05 00:00:00+01:00,0.07182675000000002,0.09974063115705077
2017-02-06 00:00:00+01:00,0.13374725,0.18572516688448043
2017-02-07 00:00:00+01:00,0.14166125000000004,0.19671476832094947
2017-02-08 00:00:00+01:00,0.13448774999999996,0.18675344586650025
2017-02-09 00:00:00+01:00,0.14793974999999998,0.20543326877822393
2017-02-10 00:00:00+01:00,0.12323600000000003,0.171128951557328
2017-02-11 00:00:00+01:00,0.06707924999999997,0.09314812006030612
2017-02-12 00:00:00+01:00,0.06816124999999999,0.0946506154803541
2017-02-13 00:00:00+01:00,0.10256525,0.14242497077733154
2017-02-14 00:00:00+01:00,0.10186424999999999,0.1414515425985389
2017-02-15 00:00:00+01:00,0.11456899999999999,0.1590937132897165
2017-02-16 00:00:00+01:00,0.10374425,0.14406216310657047
2017-02-17 00:00:00+01:00,0.11899725000000001,0.16524290491987118
2017-02-18 00:00:00+01:00,0.07694,0.10684103291912113
2017-02-19 00:00:00+01:00,0.05880299999999999,0.08165548815626564
2017-02-20 00:00:00+01:00,0.06403849999999997,0.08892564968275456
2017-02-21 00:00:00+01:00,0.06313875000000002,0.08767623170291346
2017-02-22 00:00:00+01:00,0.05630325000000002,0.0781842654887381
2017-02-23 00:00:00+01:00,0.06518724999999999,0.09052083601711694
2017-02-24 00:00:00+01:00,0.06911699999999998,0.09597779662426428
2017-02-25 00:00:00+01:00,0.061772749999999994,0.08577936595080113
2017-02-26 00:00:00+01:00,0.054484250000000005,0.07565835128442457
2017-02-27 00:00:00+01:00,0.05459675,0.0758145719265275
2017-02-28 00:00:00+01:00,0.069532,0.09655407721513297
2017-03-01 00:00:00+01:00,0.07535975000000002,0.10464665363304836
2017-03-02 00:00:00+01:00,0.058807750000000006,0.08166208413893224
2017-03-03 00:00:00+01:00,0.081755,0.11352727640112747
2017-03-04 00:00:00+01:00,0.0558435,0.07754584379801066
2017-03-05 00:00:00+01:00,0.04377525000000001,0.060787534784153344
2017-03-06 00:00:00+01:00,0.09848774999999997,0.13676284039355563
2017-03-07 00:00:00+01:00,0.13841625000000002,0.1922086706887354
2017-03-08 00:00:00+01:00,0.09293675000000001,0.12905456675521357
2017-03-09 00:00:00+01:00,0.09255550000000004,0.12852515235697584
2017-03-10 00:00:00+01:00,0.07528175000000002,0.10453834065452365
2017-03-11 00:00:00+01:00,0.07237049999999998,0.10049569759388163
2017-03-12 00:00:00+01:00,0.0484995,0.06734776028152996
2017-03-13 00:00:00+01:00,0.07862975000000007,0.10918746696350756
2017-03-14 00:00:00+01:00,0.08599149999999997,0.11941019862574216
2017-03-15 00:00:00+01:00,0.07300924999999997,0.10138268368404395
2017-03-16 00:00:00+01:00,0.07178124999999998,0.09967744858624462
2017-03-17 00:00:00+01:00,0.050560999999999995,0.07021041675882093
2017-03-18 00:00:00+01:00,0.040006750000000015,0.05555449043068691
2017-03-19 00:00:00+01:00,0.04002725000000002,0.0555829573032479
2017-03-20 00:00:00+01:00,0.04693249999999999,0.06517178031552705
2017-03-21 00:00:00+01:00,0.06387999999999999,0.08870555215588065
2017-03-22 00:00:00+01:00,0.08606050000000001,0.1195060139528987
2017-03-23 00:00:00+01:00,0.09282450000000003,0.1288986932700931
2017-03-24 00:00:00+01:00,0.08909925000000002,0.12372570707459066
2017-03-25 00:00:00+01:00,0.05737550000000003,0.07967322178647047
2017-03-26 00:00:00+01:00,0.04550350000000001,0.06318743100383714
2017-03-27 00:00:00+02:00,0.08153275,0.11321865384372853
2017-03-28 00:00:00+02:00,0.08016024999999999,0.11131276201007251
2017-03-29 00:00:00+02:00,0.04963975,0.068931143278489
2017-03-30 00:00:00+02:00,0.06038749999999999,0.08385576911104012
2017-03-31 00:00:00+02:00,0.06367075000000003,0.0884149817615692
2017-04-01 00:00:00+02:00,0.049650250000000014,0.06894572387175195
2017-04-02 00:00:00+02:00,0.04679624999999998,0.06498257976009124
2017-04-03 00:00:00+02:00,0.07716175,0.10714896116255518
2017-04-04 00:00:00+02:00,0.08521425,0.11833088756730203
2017-04-05 00:00:00+02:00,0.06654875,0.09241145294354514
2017-04-06 00:00:00+02:00,0.06298100000000001,0.08745717564698686
2017-04-07 00:00:00+02:00,0.06893349999999998,0.09572298339914524
2017-04-08 00:00:00+02:00,0.06936374999999996,0.09632044056594338
2017-04-09 00:00:00+02:00,0.04267774999999999,0.05926351563119341
2017-04-10 00:00:00+02:00,0.05405300000000002,0.0750595054896966
2017-04-11 00:00:00+02:00,0.065522,0.09098567921661885
2017-04-12 00:00:00+02:00,0.048032000000000005,0.06669857672434659
2017-04-13 00:00:00+02:00,0.05193,0.07211144839472264
2017-04-14 00:00:00+02:00,0.04447000000000002,0.0617522840383847
2017-04-15 00:00:00+02:00,0.036057499999999985,0.050070451578908354
2017-04-16 00:00:00+02:00,0.03200950000000001,0.044449285719061725
2017-04-17 00:00:00+02:00,0.038415500000000005,0.053344836237386256
2017-04-18 00:00:00+02:00,0.0695165,0.09653255348222099
2017-04-19 00:00:00+02:00,0.07728900000000001,0.10732566406662275
2017-04-20 00:00:00+02:00,0.07946750000000001,0.1103507900117008
2017-04-21 00:00:00+02:00,0.05418649999999999,0.0752448873183254
2017-04-22 00:00:00+02:00,0.04305324999999997,0.059784945418834785
2017-04-23 00:00:00+02:00,0.04136175000000001,0.05743608127557135
2017-04-24 00:00:00+02:00,0.05353975,0.07434679220472466
2017-04-25 00:00:00+02:00,0.0701425,0.09740183456627832
2017-04-26 00:00:00+02:00,0.10113549999999999,0.14043957999469422
2017-04-27 00:00:00+02:00,0.08241474999999998,0.11444342367781565
2017-04-28 00:00:00+02:00,0.08584199999999997,0.11920259875023646
2017-04-29 00:00:00+02:00,0.05173300000000002,0.07183788869255128
2017-04-30 00:00:00+02:00,0.03815875000000002,0.052988306016409095
2017-05-01 00:00:00+02:00,0.0359165,0.049874655040806
2017-05-02 00:00:00+02:00,0.05469775000000001,0.07595482334743774
2017-05-03 00:00:00+02:00,0.06958375,0.09662593871050032
2017-05-04 00:00:00+02:00,0.07488999999999997,0.10399434566302286
2017-05-05 00:00:00+02:00,0.08107899999999998,0.11258856392057993
2017-05-06 00:00:00+02:00,0.05088324999999997,0.07065790210920025
2017-05-07 00:00:00+02:00,0.048746250000000005,0.06769040422320911
2017-05-08 00:00:00+02:00,0.07041374999999997,0.09777849989223762
2017-05-09 00:00:00+02:00,0.08120150000000001,0.11275867084198096
2017-05-10 00:00:00+02:00,0.07577424999999997,0.10522223990995207
2017-05-11 00:00:00+02:00,0.0661315,0.0918320479398344
2017-05-12 00:00:00+02:00,0.051548750000000025,0.0715820339964849
2017-05-13 00:00:00+02:00,0.045346999999999985,0.06297011073282277
2017-05-14 00:00:00+02:00,0.04268925,0.05927948485238617
2017-05-15 00:00:00+02:00,0.06490700000000002,0.09013167303978942
2017-05-16 00:00:00+02:00,0.06700974999999999,0.09305161041918478
2017-05-17 00:00:00+02:00,0.06585499999999997,0.09144809231724355
2017-05-18 00:00:00+02:00,0.06129474999999998,0.0851156018003548
2017-05-19 00:00:00+02:00,0.05812475,0.0807136512628761
2017-05-20 00:00:00+02:00,0.03744075000000001,0.05199127116280979
2017-05-21 00:00:00+02:00,0.036179,0.050239169872379565
2017-05-22 00:00:00+02:00,0.058605250000000005,0.08138088698314692
2017-05-23 00:00:00+02:00,0.06360275,0.0883205550623425
2017-05-24 00:00:00+02:00,0.04961400000000001,0.06889538610929656
