Date,Price
2021-01-04,19.84
2021-01-05,18.0
2021-01-06,17.565
2021-01-07,19.305
2021-01-08,20.12
2021-01-11,22.12
2021-01-12,26.16
2021-01-13,21.5
2021-01-14,21.34
2021-01-15,20.2
2021-01-19,20.325
2021-01-20,20.26
2021-01-21,20.065
2021-01-22,21.48
2021-01-25,20.16
2021-01-26,19.51
2021-01-27,19.7
2021-01-28,20.91
2021-01-29,19.82
2021-02-01,18.14
2021-02-02,18.25
2021-02-03,17.855
2021-02-04,18.12
2021-02-05,18.38
2021-02-08,20.18
2021-02-09,19.05
2021-02-10,18.56
2021-02-11,17.375
2021-02-12,17.62
2021-02-16,16.715
2021-02-17,16.54
2021-02-18,17.33
2021-02-19,16.55
2021-02-22,15.96
2021-02-23,16.25
2021-02-24,16.38
2021-02-25,15.935
2021-02-26,15.695
2021-03-01,16.08
2021-03-02,15.87
2021-03-03,15.53
2021-03-04,15.93
2021-03-05,16.365
2021-03-08,16.15
2021-03-09,16.93
2021-03-10,17.63
2021-03-11,18.125
2021-03-12,18.45
2021-03-15,17.93
2021-03-16,17.66
2021-03-17,17.97
2021-03-18,17.76
2021-03-19,17.265
2021-03-22,18.045
2021-03-23,18.39
2021-03-24,18.59
2021-03-25,18.36
2021-03-26,18.7
2021-03-29,18.45
2021-03-30,18.8
2021-03-31,18.995
2021-04-01,19.17
2021-04-05,19.17
2021-04-06,19.78
2021-04-07,19.29
2021-04-08,18.99
2021-04-09,18.94
2021-04-12,19.65
2021-04-13,19.51
2021-04-14,19.68
2021-04-15,20.26
2021-04-16,20.54
2021-04-19,20.94
2021-04-20,21.07
2021-04-21,21.11
2021-04-22,21.37
2021-04-23,20.045
2021-04-26,20.0
2021-04-27,21.405
2021-04-28,21.555
2021-04-29,22.5
2021-04-30,23.285
2021-05-03,23.82
2021-05-04,23.05
2021-05-05,23.96
2021-05-06,24.33
2021-05-07,23.94
2021-05-10,25.19
2021-05-11,25.805
2021-05-12,26.42
2021-05-13,26.25
2021-05-14,26.83
2021-05-17,26.31
2021-05-18,24.81
2021-05-19,22.66
2021-05-20,24.68
2021-05-21,24.795
2021-05-24,24.76
2021-05-25,26.19
2021-05-26,26.43
2021-05-27,25.2
2021-05-28,24.93
2021-06-01,25.975
2021-06-02,25.725
2021-06-03,25.7
2021-06-04,25.8
2021-06-07,26.49
2021-06-08,27.8
2021-06-09,28.3
2021-06-10,28.68
2021-06-11,27.845
2021-06-14,28.81
2021-06-15,28.135
2021-06-16,28.03
2021-06-17,28.31
2021-06-18,29.41
2021-06-21,29.615
2021-06-22,30.735
2021-06-23,31.55
2021-06-24,32.02
2021-06-25,32.38
2021-06-28,32.29
2021-06-29,33.486
2021-06-30,34.62
2021-07-01,36.15
2021-07-02,35.83
2021-07-06,34.105
2021-07-07,32.34
2021-07-08,33.31
2021-07-09,36.632
2021-07-12,34.65
2021-07-13,35.47
2021-07-14,34.775
2021-07-15,33.8
2021-07-16,34.84
2021-07-19,35.65
2021-07-20,35.165
2021-07-21,35.95
2021-07-22,36.13
2021-07-23,35.52
2021-07-26,36.91
2021-07-27,37.59
2021-07-28,39.7
2021-07-29,41.15
2021-07-30,40.755
2021-08-02,42.155
2021-08-03,41.245
2021-08-04,42.26
2021-08-05,42.9
2021-08-06,43.12
2021-08-09,42.785
2021-08-10,44.66
2021-08-11,45.985
2021-08-12,45.87
2021-08-13,44.63
2021-08-16,47.99
2021-08-17,46.95
2021-08-18,45.38
2021-08-19,40.4
2021-08-20,41.94
2021-08-23,41.68
2021-08-24,44.87
2021-08-25,45.285
2021-08-26,45.79
2021-08-27,47.81
2021-08-30,49.68
2021-08-31,50.34
2021-09-01,50.23
2021-09-02,51.91
2021-09-03,51.51
2021-09-07,53.91
2021-09-08,55.29
2021-09-09,56.58
2021-09-10,57.92
2021-09-13,61.28
2021-09-14,65.77
2021-09-15,70.705
2021-09-16,63.25
2021-09-17,65.103
2021-09-20,75.315
2021-09-21,73.78
2021-09-22,71.69
2021-09-23,69.685
2021-09-24,70.24
2021-09-27,76.505
2021-09-28,78.56
2021-09-29,86.609
2021-09-30,97.775
2021-10-01,93.625
2021-10-04,96.65
2021-10-05,116.02
2021-10-06,108.19
2021-10-07,96.58
2021-10-08,87.61
2021-10-11,85.215
2021-10-12,85.7
2021-10-13,93.615
2021-10-14,102.17
2021-10-15,93.65
2021-10-18,93.94
2021-10-19,89.93
2021-10-20,93.45
2021-10-21,88.465
2021-10-22,87.34
2021-10-25,88.64
2021-10-26,88.493
2021-10-27,86.819
2021-10-28,77.032
2021-10-29,64.865
2021-11-01,65.619
2021-11-02,67.605
2021-11-03,76.542
2021-11-04,73.375
2021-11-05,74.027
2021-11-08,79.074
2021-11-09,72.587
2021-11-10,70.125
2021-11-11,74.79
2021-11-12,75.675
2021-11-15,79.945
2021-11-16,94.19
2021-11-17,95.005
2021-11-18,95.165
2021-11-19,87.125
2021-11-22,84.015
2021-11-23,90.925
2021-11-24,93.985
2021-11-25,93.3
2021-11-26,87.772
2021-11-29,93.146
2021-11-30,92.515
2021-12-01,95.675
2021-12-02,94.83
2021-12-03,89.48
2021-12-06,89.928
2021-12-07,95.885
2021-12-08,101.502
2021-12-09,100.445
2021-12-10,105.775
2021-12-13,116.085
2021-12-14,128.301
2021-12-15,132.284
2021-12-16,142.765
2021-12-17,136.915
2021-12-20,146.926
2021-12-21,180.265
2021-12-22,172.875
2021-12-23,132.58
2021-12-27,106.895
2021-12-28,106.59
2021-12-29,96.476
2021-12-30,87.027
2021-12-31,70.345
2022-01-03,80.435
2022-01-04,88.74
2022-01-05,91.52
2022-01-06,96.5
2022-01-07,88.175
2022-01-10,84.605
2022-01-11,78.735
2022-01-12,75.155
2022-01-13,85.46
2022-01-14,86.97
2022-01-17,78.22
2022-01-18,78.335
2022-01-19,75.6
2022-01-20,75.205
2022-01-21,78.98
2022-01-24,93.0
2022-01-25,93.58
2022-01-26,91.835
2022-01-27,92.3
2022-01-28,92.062
2022-01-31,84.67
2022-02-01,76.165
2022-02-02,77.35
2022-02-03,80.225
2022-02-04,82.65
2022-02-07,79.595
2022-02-08,77.3
2022-02-09,74.415
2022-02-10,74.355
2022-02-11,77.425
2022-02-14,80.77
2022-02-15,70.92
2022-02-16,69.795
2022-02-17,74.915
2022-02-18,73.76
2022-02-21,71.72
2022-02-22,79.79
2022-02-23,88.89
2022-02-24,134.315
2022-02-25,94.422
2022-02-28,98.595
2022-03-01,121.675
2022-03-02,165.545
2022-03-03,160.825
2022-03-04,192.55
2022-03-07,227.2
2022-03-08,214.555
2022-03-09,155.88
2022-03-10,126.4
2022-03-11,131.23
2022-03-14,114.52
2022-03-15,115.44
2022-03-16,102.625
2022-03-17,105.09
2022-03-18,105.045
2022-03-21,96.302
2022-03-22,98.745
2022-03-23,117.0
2022-03-24,111.61
2022-03-25,101.27
2022-03-28,102.545
2022-03-29,108.38
2022-03-30,118.97
2022-03-31,125.905
2022-04-01,112.15
2022-04-04,109.525
2022-04-05,108.565
2022-04-06,106.79
2022-04-07,104.565
2022-04-08,103.88
2022-04-11,100.135
2022-04-12,102.22
2022-04-13,105.325
2022-04-14,95.62
2022-04-18,95.62
2022-04-19,93.77
2022-04-20,94.23
2022-04-21,100.06
2022-04-22,94.875
2022-04-25,92.835
2022-04-26,103.21
2022-04-27,107.425
2022-04-28,100.142
2022-04-29,99.45
