Datum;Uhrzeit;Deutschland/Luxemburg[€/MWh];Dänemark 1[€/MWh];Dänemark 2[€/MWh];Frankreich[€/MWh];Italien (Nord)[€/MWh];Niederlande[€/MWh];Polen[€/MWh];Schweden 4[€/MWh];Schweiz[€/MWh];Slowenien[€/MWh];Tschechien[€/MWh];Ungarn[€/MWh];Österreich[€/MWh];Deutschland/Österreich/Luxemburg[€/MWh];Belgien[€/MWh];Norwegen 2[€/MWh]
01.01.2021;00:00;50,87;50,87;50,87;50,87;50,87;50,87;34,18;24,95;50,98;50,87;45,54;45,54;50,87;-;50,87;24,95
01.01.2021;01:00;48,19;48,19;48,19;48,19;48,19;48,19;32,61;24,35;45,94;48,19;41,59;41,59;48,19;-;48,19;24,35
01.01.2021;02:00;44,68;44,68;44,68;44,68;44,68;44,68;32,58;23,98;44,53;44,68;40,05;40,05;44,68;-;44,68;23,98
01.01.2021;03:00;42,92;42,92;42,92;42,92;42,92;42,92;32,2;23,72;41,01;42,92;36,9;36,9;42,92;-;42,92;23,72
01.01.2021;04:00;40,39;40,39;40,39;40,39;40,39;40,39;29,16;23,73;39,23;40,39;34,47;34,47;40,39;-;40,39;23,73
01.01.2021;05:00;40,2;40,2;40,2;40,2;40,2;40,2;28,46;24,06;38,43;40,2;32,82;32,82;40,2;-;40,2;24,06
01.01.2021;06:00;39,63;39,63;39,63;39,63;39,63;39,63;28,11;24,44;39,57;39,63;30,71;27,7;39,63;-;39,63;24,44
01.01.2021;07:00;40,09;40,09;40,09;40,09;40,09;40,09;28,46;24,93;40,78;5,91;15;15;40,09;-;40,09;24,93
01.01.2021;08:00;41,27;41,27;41,27;41,27;41,27;41,27;28,46;24,9;42,72;41,27;8,43;8,43;41,27;-;41,27;24,9
01.01.2021;09:00;44,88;44,88;44,88;44,88;41,67;44,88;30,62;25,07;44,32;41,67;26,2;20,77;44,88;-;44,88;25,07
01.01.2021;10:00;45;45;45;45;45;45;32,49;30,02;46,14;45;31,64;27,7;45;-;45;25,63
01.01.2021;11:00;47,2;47,2;47,2;47,2;47,2;47,2;37,14;37,14;46,35;46;42,4;38,91;47,2;-;47,2;25,92
01.01.2021;12:00;50,78;50,78;50,78;50,78;48,43;50,78;39,05;39,05;48,9;46;43,88;41,78;50,78;-;50,78;26,13
01.01.2021;13:00;45,49;45,49;45,49;45,49;45,49;45,49;40,59;40,59;48,52;45,49;45,1;41,3;45,49;-;45,49;26,57
01.01.2021;14:00;44,73;44,73;44,73;44,73;44,73;44,73;40,79;40,79;48,05;44,73;43,01;42,74;44,73;-;44,73;27,3
01.01.2021;15:00;46,59;46,59;46,59;46,59;46,59;46,59;45,47;45,47;49,02;46,59;44,32;43,06;46,59;-;46,59;28,61
01.01.2021;16:00;52,99;52,99;52,99;52,99;52,99;52,99;51,72;51,72;53,73;52,99;49,33;49,33;52,99;-;52,99;29,35
01.01.2021;17:00;60,26;60,26;60,26;60,26;60,26;60,26;55,39;55,39;57,72;60,26;54,81;54,81;60,26;-;60,26;29,3
01.01.2021;18:00;60,61;60,61;60,61;60,61;60,61;60,61;53,01;53,01;58,3;60,61;55;55;60,61;-;60,61;28,82
01.01.2021;19:00;60,36;60,36;60,36;60,36;60,36;60,36;55,74;55,74;58,12;60,36;55;55;60,36;-;60,36;28,25
01.01.2021;20:00;57,4;57,4;57,4;57,4;57,4;57,4;54,94;54,94;56,46;57,4;54,74;54,74;57,4;-;57,4;27,32
01.01.2021;21:00;53,86;53,86;53,86;53,86;53,86;53,86;50,82;50,82;53,89;53,86;51,5;51,5;53,86;-;53,86;26,98
01.01.2021;22:00;53,45;53,45;53,45;53,45;53,45;53,45;45,22;45,22;52,02;53,45;51,25;51,25;53,45;-;53,45;26,44
01.01.2021;23:00;49,72;49,72;49,72;49,72;49,72;49,72;35,81;25,64;48,72;49,72;46,83;46,83;49,72;-;49,72;25,64
02.01.2021;00:00;46,69;46,69;46,69;46,69;46,69;46,69;39,3;25,59;53,24;0,18;44,1;44,1;46,69;-;46,69;25,59
02.01.2021;01:00;42,43;42,43;42,43;42,43;42,43;42,43;39,37;24,91;49,66;0,17;38,54;38,54;42,43;-;42,43;24,91
02.01.2021;02:00;41,09;41,09;41,09;41,09;41,09;41,09;38,68;24,74;46,04;0,16;38,08;38,08;41,09;-;41,09;24,74
02.01.2021;03:00;40;40;40;40;40;40;37,1;24,66;43,49;0,92;37,1;37,1;40;-;40;24,66
02.01.2021;04:00;37,55;37,55;37,55;37,55;37,55;37,55;37,83;24,72;42,04;0,2;36,88;36,88;37,55;-;37,55;24,72
02.01.2021;05:00;39;39;39;39;39;39;38,53;24,92;42,85;1;37,2;37,2;39;-;39;24,92
02.01.2021;06:00;42,09;42,09;42,09;42,09;42,09;42,09;38,95;30,05;45,26;0,15;40,56;40,56;42,09;-;42,09;25,62
02.01.2021;07:00;44,96;44,96;44,96;44,96;46,57;44,96;44,31;26,19;49,16;1,01;45,2;45,2;44,96;-;44,96;26,19
02.01.2021;08:00;48,45;48,45;48,45;48,45;51,33;48,45;43,3;43,3;53,27;43;49,67;49,67;48,45;-;48,45;26,7
02.01.2021;09:00;52;52;52;52;54,6;52;47,85;47,85;58,83;43,1;55,43;55,43;52;-;52;26,89
02.01.2021;10:00;52;52;52;52;53,17;52;50,75;50,75;59,45;52;57,33;57,33;52;-;52;27,7
02.01.2021;11:00;52,15;52,15;52,15;52,15;52,15;52,15;50,9;50,9;59,75;52,15;57,4;57,4;52,15;-;52,15;28,09
02.01.2021;12:00;55,95;55,95;55,95;55,95;55,95;55,95;53,75;53,75;60,19;55,95;56,9;56,9;55,95;-;55,95;27,84
02.01.2021;13:00;52;52;52;52;52;52;50,75;50,75;59,19;52;55,3;55,3;52;-;52;27,84
02.01.2021;14:00;50,69;50,69;50,69;50,69;52;50,69;49,48;49,48;57,76;50,69;55;55;50,69;-;50,69;27,91
02.01.2021;15:00;53,45;53,45;53,45;53,45;53,89;53,45;52,16;52,16;59,17;53,45;56,32;56,32;53,45;-;53,45;28,08
02.01.2021;16:00;59,99;59,99;59,99;59,99;59,99;59,99;58,88;58,88;61,71;59,99;63,1;63,1;59,99;-;59,99;28,85
02.01.2021;17:00;62;62;62;62;62;62;60,51;60,51;64,53;62;65,58;67,49;62;-;62;28,93
02.01.2021;18:00;63,08;63,08;63,08;63,08;63,08;63,08;61,56;61,56;64,79;63,08;65,22;66,99;63,08;-;63,08;28,53
02.01.2021;19:00;62,17;62,17;62,17;62,17;62,17;62,17;56,17;56,17;64,08;62,17;62,25;63,45;62,17;-;62,17;28,51
02.01.2021;20:00;60,03;60,03;60,03;60,03;60,03;60,03;55,01;55,01;61,47;60,03;57,92;57,92;60,03;-;60,03;27,38
02.01.2021;21:00;55,03;55,03;55,03;55,03;55,03;55,03;52,6;52,6;58,58;55,03;53,25;53,25;55,03;-;55,03;26,96
02.01.2021;22:00;52,25;52,25;52,25;52,25;52,25;52,25;47,13;47,13;57,88;43,1;52,78;52,78;52,25;-;52,25;26,85
02.01.2021;23:00;48,45;48,45;48,45;48,45;48,45;48,45;39,56;39,56;56,03;1,06;48,08;48,08;48,45;-;48,45;25,94
03.01.2021;00:00;46,11;46,11;46,11;46,11;46,11;46,11;34,13;25,27;48,95;46,11;39,01;39,01;46,11;-;46,11;25,27
03.01.2021;01:00;43;41,59;41,59;43;43;43;38,64;24,59;42,03;43;38,61;28,55;43;-;43;24,59
03.01.2021;02:00;39,55;37,21;37,21;39,55;39,55;39,55;38,56;23,86;39,8;39,55;35,5;20,41;39,55;-;39,55;23,86
03.01.2021;03:00;35,18;35,18;35,18;37,44;37,44;45,3;37,32;23,57;36,77;35,93;34;23,91;35,93;-;38,63;23,57
03.01.2021;04:00;33,45;24,65;24,65;35,64;35,64;43;35,83;23,49;34,87;33,96;35,5;20;33,96;-;36,74;23,49
03.01.2021;05:00;32,37;23,85;23,85;35,5;35,5;43;36,16;23,85;35,26;33,41;33,83;26,04;33,41;-;37,17;23,85
03.01.2021;06:00;31,7;24,05;24,05;36,14;36,14;42;38,34;24,05;36,45;33,17;31,07;28,78;33,17;-;39,27;24,05
03.01.2021;07:00;32,63;24,8;24,8;36,97;36,97;45,3;39,32;24,8;41,01;34,07;34,5;34,5;34,07;-;40,02;24,8
03.01.2021;08:00;36,9;24,97;24,97;38,92;41,07;43,32;39,12;24,97;42,8;37,56;37,5;37,5;37,56;-;40;24,97
03.01.2021;09:00;36,96;25,65;25,65;44,49;44,49;60,9;38,64;25,65;49,06;39,4;39,01;39,01;39,4;-;48,5;25,65
03.01.2021;10:00;36,96;26;26;49;49;72,23;36,64;26;50,14;40,8;41,2;41,2;40,8;-;55,51;26
03.01.2021;11:00;43,72;26,07;26,89;50,3;50,3;62,16;36,73;26,89;50,8;45,78;43,51;43,51;45,78;-;53,94;26,07
03.01.2021;12:00;47,71;25,87;25,87;52,04;52,04;60,9;36,83;25,87;52,65;49,11;43,04;43,04;49,11;-;54,34;25,87
03.01.2021;13:00;40,41;25,83;25,83;46,64;46,64;59;36,31;25,83;50,31;42,41;42,34;42,34;42,41;-;49,98;25,83
03.01.2021;14:00;39,66;26,02;26,02;44,01;44,01;52,65;35,55;26,02;49,98;41,06;42,9;42,9;41,06;-;46,33;26,02
03.01.2021;15:00;39,57;26,5;26,5;41,27;45,53;44,67;36,76;26,5;50,17;40,1;42,9;42,9;40,1;-;42,22;26,5
03.01.2021;16:00;36,11;28,05;33,27;49,92;49,92;57,67;43,33;33,27;52,78;40,63;48,78;50,83;40,63;-;59,37;28,05
03.01.2021;17:00;45,04;28,53;43,96;55,16;58;70;44,45;43,96;57,77;48,38;50,52;52,73;48,38;-;62,12;28,53
03.01.2021;18:00;52,56;28,17;43,35;59,29;59,5;59,9;43,35;43,35;60,59;54,9;51,44;54,02;54,9;-;58,12;28,17
03.01.2021;19:00;45,84;27,92;27,92;61,09;61,09;44,3;42,45;27,92;60,93;49,68;50,38;53,39;49,68;-;42,9;27,92
03.01.2021;20:00;35,83;27,56;27,56;60;60;42;36,95;27,56;60,09;41,47;47,04;49,49;41,47;-;28,46;27,56
03.01.2021;21:00;33,31;27,04;27,04;59,4;59,4;41,23;34,79;27,04;57,99;39,45;42,9;43,11;39,45;-;26,84;27,04
03.01.2021;22:00;34,98;26,18;26,18;55,36;55,36;42,9;38,7;26,18;56,94;39,37;40;40;39,37;-;26,93;26,18
03.01.2021;23:00;27,39;24,92;24,92;53,06;53,06;33,5;36,85;24,92;55,04;32,9;31,21;31,21;32,9;-;16,56;24,92
04.01.2021;00:00;29,33;24,66;24,66;50,23;50,23;41,96;38,97;24,66;50,28;34,09;28,14;28,14;34,09;-;24,02;24,66
04.01.2021;01:00;24,82;24,05;24,05;47,01;46,64;39;37,29;24,05;45,45;29,88;27,2;23,92;29,88;-;19,42;24,05
04.01.2021;02:00;24,65;23,88;23,88;43,79;43,79;37,14;36,63;23,88;44,5;29;25,8;21,2;29;-;20;23,88
04.01.2021;03:00;24,8;24,03;24,03;41,65;41,65;35,79;36,11;24,03;40,86;28,63;23,17;20,99;28,63;-;20,71;24,03
04.01.2021;04:00;27,71;24,58;24,58;41,62;41,62;36,63;38,72;24,58;41,17;30,87;26,93;26,93;30,87;-;24,34;24,58
04.01.2021;05:00;28,58;25,84;25,84;44,5;44,5;41,83;39,24;25,84;46,09;32,08;31;31;32,08;-;23,25;25,84
04.01.2021;06:00;37,04;28,21;28,21;56;58,88;38,74;42,86;28,21;58,19;41,32;43,2;43,2;41,32;-;30,51;28,21
04.01.2021;07:00;52,03;30,85;49,76;62;62;41,61;49,76;49,76;63,08;55,18;53,25;55,04;55,18;-;68,25;30,85
04.01.2021;08:00;55,76;49,2;54,42;64,84;64,84;60;54,42;54,42;67,82;58,18;58,25;64,4;58,18;-;71,54;49,2
04.01.2021;09:00;57,06;50,02;55,69;68,25;68,25;64,83;57,37;55,69;67,72;59,19;57,5;66,69;59,19;-;54,5;50,02
04.01.2021;10:00;57,18;55,4;55,8;65,97;65,97;60;57,39;55,8;67,18;58,81;58,31;65,41;58,81;-;54,5;55,4
04.01.2021;11:00;60;56,53;58,27;63,93;63,9;58,4;58,27;58,27;67,79;60,69;59;63,88;60,69;-;58,19;56,53
04.01.2021;12:00;61,27;52,07;57,52;63,94;62,3;59,34;57,52;57,52;67,58;61,73;61;63,05;61,73;-;59,86;52,07
04.01.2021;13:00;60,28;56,53;56,53;63,94;62;58,4;57,48;56,53;66,92;60,92;60,77;60,77;60,92;-;58,51;56,53
04.01.2021;14:00;60,07;57,99;57,99;61,97;61,97;59,91;57,99;57,99;66,83;60,41;59,5;59,51;60,41;-;59,32;57,99
04.01.2021;15:00;59,46;58,03;58,03;62,45;62,45;59,52;58,03;58,03;66,55;59,99;59,3;61,4;59,99;-;57,61;57,61
04.01.2021;16:00;61,99;60,5;60,5;63,9;63,9;62,06;60,5;60,5;67,82;62,33;63,1;66,55;62,33;-;60,77;60,07
04.01.2021;17:00;66,82;65,22;65,22;67,02;67,02;67,37;65,22;65,22;71,94;66,88;63,75;70,4;66,88;-;67,04;65,22
04.01.2021;18:00;61,97;60,05;60,05;71,05;71,05;61,56;60,05;60,05;69,54;64,44;62,3;68,91;64,44;-;76,05;59,59
04.01.2021;19:00;55,06;53,73;53,73;72,6;70,18;42,9;57,4;53,73;68,92;59,93;59,96;65,07;59,93;-;45,88;41,53
04.01.2021;20:00;47,34;37,68;37,68;70;65;41,39;58,26;37,68;66,07;52,23;60,5;62,3;52,23;-;37,43;37,68
04.01.2021;21:00;45,64;34,82;38,49;61,39;61,39;42,9;47,88;38,49;60;49,06;52,1;52,96;49,06;-;39,07;34,82
04.01.2021;22:00;48,93;30,95;30,95;59,8;59,8;41,94;46,08;30,95;59,12;51,13;48,57;49,16;51,13;-;47,1;30,95
04.01.2021;23:00;44,64;27,35;27,35;54,69;54,69;40;40,59;27,35;56,42;46,71;43,9;43,9;46,71;-;43,8;27,35
05.01.2021;00:00;37,54;27,81;27,81;54,79;54,79;41,82;48,93;27,81;51,65;42,03;37,48;37,48;42,03;-;67,6;27,81
05.01.2021;01:00;40,07;27,45;27,45;50,3;50,3;41,98;45,13;27,45;50,07;42,46;36,04;35,28;42,46;-;50;27,45
05.01.2021;02:00;39,81;27,08;27,08;49,53;49,53;41,92;42,19;27,08;47,22;42,01;34,2;23,97;42,01;-;44,7;27,08
05.01.2021;03:00;39,65;27,14;27,14;44,58;44,58;42;42,19;27,14;45,25;40,71;31,81;19,69;40,71;-;37,92;27,14
05.01.2021;04:00;40,2;27,79;27,79;45,05;45,05;41,96;41,26;27,79;44,81;41,24;32,75;29,73;41,24;-;38,42;27,79
05.01.2021;05:00;44,26;29,81;29,81;49,53;49,53;45;44,75;29,81;48,45;45,63;37,4;37,4;45,63;-;53,65;29,81
05.01.2021;06:00;47,06;35,78;35,78;58,15;58,15;36,97;46,17;35,78;57,23;49,5;46,86;46,86;49,5;-;46,8;35,78
05.01.2021;07:00;54,96;53,64;53,64;68,3;62;45,1;59,53;53,64;61,55;57,77;57,54;58,72;57,77;-;49,08;46,59
05.01.2021;08:00;63,67;60;60;70,41;65,06;58,08;60;60;63,89;65,06;62,43;62,43;65,06;-;65,98;60
05.01.2021;09:00;64,73;60,12;60,12;75;66,97;60;60,12;60,12;63,99;66,97;64,42;65,48;66,97;-;83,57;60,12
05.01.2021;10:00;66,07;61,18;61,18;73,48;67,74;59,22;61,18;61,18;64,04;67,74;64,15;64,15;67,74;-;80;61,18
05.01.2021;11:00;65,97;62,46;62,46;72,31;67,4;60,47;62,46;62,46;63,72;67,4;63,99;63,99;67,4;-;77,88;62,46
05.01.2021;12:00;65,46;61,48;61,48;71,35;66,77;59,51;61,48;61,48;63,75;66,77;64,2;64,2;66,77;-;76,55;61,48
05.01.2021;13:00;63,82;62,29;62,29;72,52;65,89;64,35;62,29;62,29;63,03;65,89;63,65;63,65;65,89;-;79,75;62,29
05.01.2021;14:00;63,87;61,89;62,04;69,75;65,32;59,91;62,04;62,04;61,96;65,19;62;62;65,19;-;74,87;61,89
05.01.2021;15:00;64,05;62,51;62,51;66,46;65;60,87;62,51;62,51;61,88;64,56;62,18;62,18;64,56;-;68,63;62,51
05.01.2021;16:00;64,26;64,26;64,26;66,04;64,64;62,21;64,26;64,26;63,61;64,64;64,81;67,56;64,64;-;67,6;64,26
05.01.2021;17:00;67,14;65,6;65,6;71,9;68,32;62,98;65,6;65,6;67,3;68,32;67,1;70,62;68,32;-;75,89;65,06
05.01.2021;18:00;61,61;60,13;60,13;80;66,77;45,7;60,13;60,13;65,6;66,04;64;67,51;66,04;-;80;47,21
05.01.2021;19:00;59,16;54,66;54,66;80;64,33;43,37;59,23;54,66;64,08;63,61;59,3;60,06;63,61;-;49,9;44,81
05.01.2021;20:00;59,26;40,78;40,78;70,12;64;42,12;52,74;40,78;62,67;61,93;53,44;53,44;61,93;-;73,7;40,78
05.01.2021;21:00;53,62;39,6;39,6;58,87;58,16;45,65;48,94;39,6;59,5;54,91;48,39;48,39;54,91;-;60,58;39,6
05.01.2021;22:00;53,86;32,06;32,06;58,5;56,16;45,6;49,14;32,06;58,61;54,93;48,2;48,2;54,93;-;60,03;32,06
05.01.2021;23:00;47,99;29,21;29,21;55,51;55,51;42,45;48,41;29,21;55,36;49,76;42,6;42,6;49,76;-;58,14;29,21
06.01.2021;00:00;44,41;29,83;29,83;53,73;53,73;44,62;41,8;29,83;55,23;0,96;43,1;43,1;46,28;-;47,9;29,83
06.01.2021;01:00;42,94;28,72;28,72;52,95;52,6;44,7;39,76;28,72;52,07;1;41,8;35,62;45,02;-;51,4;28,72
06.01.2021;02:00;42,88;28,11;28,11;52,73;50,6;45,27;39,85;28,11;51,08;0,1;41,22;30,31;44,93;-;50,32;28,11
06.01.2021;03:00;42,15;27,98;27,98;50,12;49;44,08;39,85;27,98;48,75;5,02;40,27;21,52;43,8;-;48,17;27,98
06.01.2021;04:00;43,23;28,16;28,16;47,2;47,2;44,33;39,85;28,16;47,66;37;41,1;31,93;44,06;-;46,23;28,16
06.01.2021;05:00;44,56;29;29;49,29;49,29;45,79;39,85;29;50,37;37,9;43,51;43,51;45,54;-;48,14;29
06.01.2021;06:00;47,4;30,72;30,72;55;55;42,16;40,67;30,72;55,17;37,99;46,62;46,62;48,91;-;46,5;30,72
06.01.2021;07:00;44,05;35,54;35,54;67,61;56,6;46,11;45,11;35,54;60,09;50,3;49,77;51,91;50,3;-;87,66;35,54
06.01.2021;08:00;53,41;39,18;39,18;73,6;59,8;60,1;47,26;39,18;59,8;58,9;52,08;57,39;58,9;-;90,35;39,18
06.01.2021;09:00;54,8;41,88;41,88;91,73;61,1;50;47,26;41,88;60,55;61,1;56,52;61,1;63,58;-;121,14;41,88
06.01.2021;10:00;53,94;46,07;46,07;86,99;60,62;52,4;50,66;46,07;60,64;60,62;57,28;60,59;62,78;-;115,5;46,07
06.01.2021;11:00;58,3;45,27;45,27;80,02;60,62;60;47,26;45,27;60,69;60,62;58,76;63,28;64,24;-;98,34;45,27
06.01.2021;12:00;61,43;46,21;46,21;78,76;58;53,2;53,01;46,21;60,96;58;60,1;60,1;65,93;-;94,38;46,21
06.01.2021;13:00;61,92;47,35;47,35;73,79;56,23;56,22;50,7;47,35;60,63;56,23;59,97;59,97;64,99;-;84,45;47,35
06.01.2021;14:00;57;51,31;51,31;73,02;58,62;59,94;51,31;51,31;60,14;58,62;58;58;61,31;-;86,46;51,31
06.01.2021;15:00;57,53;54,9;54,9;70,89;61,05;56,91;54,9;54,9;60,63;61,05;58,63;60,03;61,05;-;82,28;54,9
06.01.2021;16:00;61,68;58,4;58,4;72,85;64,68;64;58,4;58,4;60,66;64,68;60;64;64,68;-;82,14;58,4
06.01.2021;17:00;61,84;59,93;59,93;79,63;66,94;68,83;59,93;59,93;62,31;66,46;60,77;65,47;66,46;-;94,18;59,93
06.01.2021;18:00;57,46;55,67;55,67;101,07;68,45;45,48;57,96;55,67;62,42;68,45;60;64,84;68,45;-;139,48;55,67
06.01.2021;19:00;58,06;50,25;50,25;96,85;67,05;53,68;58,53;50,25;61,41;67,05;59,41;61;67,05;-;128,04;50,25
06.01.2021;20:00;59,97;39,84;39,84;79,6;64,28;44,24;57,15;39,84;61,02;64,28;58,19;58,19;64,28;-;83,6;39,84
06.01.2021;21:00;52,95;39,93;39,93;69,77;60,7;44,9;50,32;39,93;58,68;57,07;53;53;57,07;-;82,09;39,93
06.01.2021;22:00;52,95;38,7;38,7;64,31;56,6;43,6;45,38;38,7;58,32;55,27;50,28;50,28;55,27;-;73;38,7
06.01.2021;23:00;49,53;32,5;32,5;62,39;55;43,6;45,29;32,5;55,22;49,1;47,88;47,88;52,11;-;73;32,5
07.01.2021;00:00;51,03;43,08;43,08;77;56,87;44,5;43,69;43,08;55,65;56,87;47,66;38,99;56,87;-;91,6;43,08
07.01.2021;01:00;50,18;40,9;40,9;65,85;54,71;42,4;42,65;40,9;52,61;53,55;43,2;28,03;53,55;-;68,2;40,9
07.01.2021;02:00;48,97;39,19;39,19;63,78;53,7;40,54;43,95;39,19;51,37;51,82;45,62;21,24;51,82;-;42,7;39,19
07.01.2021;03:00;46,72;39,78;39,78;51,51;51,51;43,1;42,53;39,78;51,14;47,65;43;22,13;47,65;-;44,07;39,78
07.01.2021;04:00;46,87;41,28;41,28;49,35;49,35;45;43,81;41,28;50,1;47,35;45,79;29,17;47,35;-;45,5;41,28
07.01.2021;05:00;50,08;45,54;45,54;55,63;55,63;45,81;45,94;45,54;52,89;51,15;48,58;47,56;51,15;-;47;45,54
07.01.2021;06:00;57,34;55,97;55,97;65;61,6;46,46;59,49;55,97;59,94;59,17;63,09;63,09;59,17;-;69,4;52,86
07.01.2021;07:00;67,8;67,8;67,8;83,98;71,09;58,31;65,45;67,8;68,51;71,09;72,75;72,75;71,09;-;53,51;67,8
07.01.2021;08:00;86,51;84,43;86,51;95,02;88,26;81,4;71,84;84,43;75,43;88,26;80;80;88,26;-;78,95;84,43
07.01.2021;09:00;86,54;83,86;83,86;99;92,28;81,17;74,91;83,86;77,49;89,29;81,17;81,17;89,29;-;76,87;83,86
07.01.2021;10:00;85,08;82,44;82,44;93,83;86,88;79,81;75,71;82,44;78,71;86,88;80,95;80,95;86,88;-;77,28;82,44
07.01.2021;11:00;88,74;85,99;85,99;97,87;90,62;83,24;80,98;85,99;79,93;90,62;80;80;90,62;-;80,6;85,99
07.01.2021;12:00;88,76;84,71;84,71;100;77,9;82;77,76;84,71;78,69;77,9;79,01;79,01;91,07;-;78,76;84,71
07.01.2021;13:00;84,31;82,29;82,29;92,14;78,3;79,61;79,46;82,29;79,11;78,3;78,33;78,33;85,92;-;77,35;82,29
07.01.2021;14:00;80,4;78,62;78,62;80,4;80,4;80,4;77,67;78,62;79,36;80,4;78,5;78,5;80,4;-;80,4;78,62
07.01.2021;15:00;83,57;81,57;81,57;83,57;83,57;83,57;81,29;81,57;83,29;83,57;80;80;83,57;-;83,57;81,57
07.01.2021;16:00;89,68;89,68;89,68;89,68;89,68;89,68;89,68;89,68;87,35;89,68;87,33;87,33;89,68;-;89,68;89,68
07.01.2021;17:00;100;99,91;100;100;97;100;94,2;99,91;94,81;97;93,82;93,82;100;-;100;99,91
07.01.2021;18:00;90,43;84,62;90,43;106,95;92,2;80;84,62;84,62;93,43;92,2;90;90;93,8;-;73,08;84,62
07.01.2021;19:00;80,28;77,79;80,28;108,97;86,19;62,9;77,79;77,79;81,44;86,19;82;82;86,19;-;54,78;77,79
07.01.2021;20:00;66,8;65,2;66,8;95,85;72,91;44;65,2;65,2;69,3;72,91;72;72;72,91;-;51,39;64,73
07.01.2021;21:00;60,22;59,33;59,33;78,37;65,22;45,9;59,33;59,33;63,88;64,01;64,13;64,13;64,01;-;50,66;58,35
07.01.2021;22:00;59,69;58,26;58,26;71,68;61,98;50,54;58,26;58,26;60,88;61,98;60,08;60,08;62,01;-;53,05;57,84
07.01.2021;23:00;52,25;52,25;52,25;65,04;57,58;41,9;50,99;50,99;58,64;54,73;50,68;50,68;54,73;-;45,15;50,63
08.01.2021;00:00;50,53;49,31;49,31;57,45;57,45;45,41;49,31;49,31;59,58;51,88;49,1;49,1;51,88;-;46,59;49,31
08.01.2021;01:00;48,43;47,38;47,38;56,41;56,41;42,13;47,38;47,38;58,26;49,99;47,24;47,24;49,99;-;43,9;47,38
08.01.2021;02:00;47,24;45,78;45,78;55,17;55,17;42,39;45,78;45,78;57,61;48,75;43;38,06;48,75;-;40;45,78
08.01.2021;03:00;45,61;44,51;44,51;51,76;51,76;42,07;44,51;44,51;56,21;46,77;43,23;37,38;46,77;-;40;44,51
08.01.2021;04:00;46,81;45,69;45,69;50,86;50,86;43,83;46,23;45,69;55,31;47,6;46,87;45,28;47,6;-;44,51;45,69
08.01.2021;05:00;51,57;50,33;50,33;56,45;56,45;48,17;50,33;50,33;57,93;52,52;53,78;53,78;52,52;-;48,8;50,33
08.01.2021;06:00;60,67;59,71;59,71;65,75;65,22;57,73;59,71;59,71;63,6;61,69;65;66,43;61,69;-;55,41;59,64
08.01.2021;07:00;79,56;79,56;79,56;86,93;81,07;74,9;63,68;79,56;79,41;81,07;78;83,5;81,07;-;71,92;77,38
08.01.2021;08:00;103,54;103,54;103,54;103,54;103,54;103,54;64,46;103,54;98,2;103,54;96,61;97,95;103,54;-;103,54;103,54
08.01.2021;09:00;110,45;107,8;107,8;110,45;110,45;110,45;64,8;107,8;102,03;110,45;100;100,04;110,45;-;110,45;107,8
08.01.2021;10:00;109,96;107,32;107,32;109,96;109,96;109,96;62,39;107,32;101,08;109,96;98,77;99,72;109,96;-;109,96;107,32
08.01.2021;11:00;106,82;104,26;104,26;106,82;106,82;106,82;64,31;104,26;100,74;106,82;98,45;98,45;106,82;-;106,82;104,26
08.01.2021;12:00;102,37;99,91;99,91;102,37;95;102,37;65,88;99,91;97,7;95;97,4;97,4;102,37;-;102,37;99,91
08.01.2021;13:00;97,61;95,27;95,27;97,61;88,1;97,61;67,37;95,27;92,61;88,1;92,18;92,18;97,61;-;97,61;95,27
08.01.2021;14:00;95;92,72;92,72;95;95;95;64,77;92,72;85,9;95;87,95;87,95;95;-;95;92,72
08.01.2021;15:00;95,42;95,42;95,42;95,42;95,42;95,42;63,79;95,42;85,82;95,42;87;87;95,42;-;95,42;95,42
08.01.2021;16:00;95;95;95;95;95;95;64,54;95;90,61;95;90,01;90,01;95;-;95;95
08.01.2021;17:00;110;110;110;110;110;110;63,18;110;97,45;110;100;100;110;-;110;110
08.01.2021;18:00;102,41;99,95;99,95;113,37;102,41;87,44;62,77;99,95;96;102,41;95,5;95,5;102,41;-;118,8;99,95
08.01.2021;19:00;88,05;80,12;80,12;114,89;83,06;56,81;62,16;80,12;85,42;83,06;81,07;81,07;90,45;-;114,89;80,12
08.01.2021;20:00;64,24;64,24;64,24;88,06;70;45,1;61,48;61,48;70,26;70;70;70;70;-;88,06;61,48
08.01.2021;21:00;59,43;59,43;59,43;78,37;64,06;44,88;59,43;59,43;64,35;63,97;62,79;62,79;63,97;-;78,5;59,43
08.01.2021;22:00;57,6;56,22;56,22;65,6;61,42;46,26;56,22;56,22;61,51;59,41;59,52;59,52;59,41;-;70;56,22
08.01.2021;23:00;51,75;51,75;51,75;69,27;58,3;43,2;50,48;50,48;58,4;41,73;49,1;49,1;56,11;-;84,43;50,48
09.01.2021;00:00;54,73;50,67;50,67;61,9;61,9;50,67;47,58;47,58;60,08;52;47,01;47,01;56,22;-;67,69;47,58
09.01.2021;01:00;52,39;48,6;48,6;58,38;58,38;48,6;49,63;47,04;58,35;37;51,01;32,51;53,46;-;53,34;47,04
09.01.2021;02:00;51,67;48,02;48,02;55,96;55,96;48,02;49,58;46,48;56,15;20,98;51,9;30,04;52,46;-;52,68;46,48
