time,Temp [K]
2017-01-01,271.61856496949355
2017-01-02,272.2141566523448
2017-01-03,273.14190079950737
2017-01-04,274.1127821065833
2017-01-05,272.13079181688965
2017-01-06,268.3664966414882
2017-01-07,267.5287057982037
2017-01-08,269.8385567775692
2017-01-09,271.5957140934469
2017-01-10,272.5132083808722
2017-01-11,273.6759936539437
2017-01-12,275.1761966138474
2017-01-13,274.7658547992986
2017-01-14,274.2109600474738
2017-01-15,273.10185159966454
2017-01-16,271.2532845043533
2017-01-17,269.8964878307799
2017-01-18,269.07449261962734
2017-01-19,268.66010333064514
2017-01-20,269.24602195888247
2017-01-21,269.8018551513699
2017-01-22,269.1094733901683
2017-01-23,268.37822289808736
2017-01-24,269.02359694492077
2017-01-25,269.4206765905543
2017-01-26,270.15933702978515
2017-01-27,270.7376407338097
2017-01-28,271.41904875944255
2017-01-29,272.8438700112827
2017-01-30,274.0817139487234
2017-01-31,274.59877498551674
2017-02-01,274.5946713449256
2017-02-02,275.6692332932206
2017-02-03,276.76892515404177
2017-02-04,277.21711553664477
2017-02-05,276.9790755020978
2017-02-06,275.89678305074284
2017-02-07,274.87690690499846
2017-02-08,273.6605921360975
2017-02-09,272.144718618494
2017-02-10,271.70689714475117
2017-02-11,272.358497055147
2017-02-12,272.92100969228864
2017-02-13,273.33694651279546
2017-02-14,273.9181023531992
2017-02-15,275.3358771740756
2017-02-16,277.07748617079864
2017-02-17,277.78889382786247
2017-02-18,277.61371510105016
2017-02-19,277.08683934227355
2017-02-20,278.5794982029759
2017-02-21,280.0372217825476
2017-02-22,281.01375062653057
2017-02-23,281.4193906692821
2017-02-24,278.9476926609177
2017-02-25,277.3890390193531
2017-02-26,278.68209633469735
2017-02-27,280.4457716813834
2017-02-28,279.4377015878318
2017-03-01,278.687572218896
2017-03-02,278.8553380860185
2017-03-03,278.88918066059193
2017-03-04,280.7011332994545
2017-03-05,280.4485570595269
2017-03-06,279.27082905089486
2017-03-07,278.04948522114404
2017-03-08,277.78908735782767
2017-03-09,279.38504062447805
2017-03-10,279.27491622656794
2017-03-11,279.0445717084269
2017-03-12,278.77350697597603
2017-03-13,278.57809656172907
2017-03-14,279.71082123720123
2017-03-15,280.7800272100643
2017-03-16,281.1941218504978
2017-03-17,281.4505626860913
2017-03-18,280.9335342164262
2017-03-19,281.4840310240644
2017-03-20,282.5266586271485
2017-03-21,281.94057971874025
2017-03-22,280.29447662922144
2017-03-23,280.4188995404209
2017-03-24,280.34538151638054
2017-03-25,280.5203684362874
2017-03-26,280.59230858385234
2017-03-27,281.37952850718614
2017-03-28,283.13023714310776
2017-03-29,284.1421521300582
2017-03-30,285.6860523879889
2017-03-31,287.06009258595003
2017-04-01,286.7396015056034
2017-04-02,285.7644089089793
2017-04-03,284.2121726320727
2017-04-04,282.8058262846963
2017-04-05,281.9804459423662
2017-04-06,281.01768376099545
2017-04-07,281.24237032937503
2017-04-08,282.346361718187
2017-04-09,283.92665453755734
2017-04-10,284.5598558674328
2017-04-11,282.84566738614967
2017-04-12,282.856717112178
2017-04-13,282.4932193137634
2017-04-14,281.8610845323196
2017-04-15,281.80343683766165
2017-04-16,280.50777853143825
2017-04-17,279.20359838064417
2017-04-18,277.658435384578
2017-04-19,276.364035819212
2017-04-20,276.4806585787543
2017-04-21,278.86396774943046
2017-04-22,279.69527476436036
2017-04-23,279.2241985623086
2017-04-24,280.27727208292737
2017-04-25,279.98565192689813
2017-04-26,278.8587249855248
2017-04-27,278.51950559728107
2017-04-28,278.72773746389083
2017-04-29,279.40423701752695
2017-04-30,281.3000722877078
2017-05-01,281.9984557989726
2017-05-02,281.93181705519146
2017-05-03,282.62718761425856
2017-05-04,282.3918139599906
2017-05-05,282.3536434637779
2017-05-06,283.8462692662782
2017-05-07,284.5687439662932
2017-05-08,283.0639733198993
2017-05-09,281.57914670594107
2017-05-10,281.8014283923127
2017-05-11,284.33795757873696
2017-05-12,286.39403603930884
2017-05-13,287.68499172472343
2017-05-14,288.02807024754975
2017-05-15,287.9897769221641
2017-05-16,289.1473857233776
2017-05-17,291.44826922030836
2017-05-18,292.0042092585164
2017-05-19,290.02762479303135
2017-05-20,287.6331800662794
2017-05-21,287.1329028715471
2017-05-22,288.0630672561235
2017-05-23,289.50852551289023
2017-05-24,288.78915521556866
2017-05-25,288.6555210363819
2017-05-26,289.7789721498957
2017-05-27,291.87435249150514
2017-05-28,293.548322283412
2017-05-29,295.00049468038486
2017-05-30,294.52255171415186
2017-05-31,292.69351206984044
2017-06-01,291.4219297624348
2017-06-02,291.7136900204615
2017-06-03,292.00811509577903
2017-06-04,290.37134920417003
2017-06-05,289.397599819807
2017-06-06,288.5202671145064
2017-06-07,286.90841337909336
2017-06-08,287.9237874994245
2017-06-09,289.1208374515949
2017-06-10,289.6768133516146
2017-06-11,292.12478898874525
2017-06-12,291.99897812271803
2017-06-13,290.7181786551108
2017-06-14,290.69011170322796
2017-06-15,292.1886702620675
2017-06-16,291.23390079250805
2017-06-17,290.1913879825462
2017-06-18,291.36038694044936
2017-06-19,293.4000993203127
2017-06-20,294.865201099005
2017-06-21,294.8520031305719
2017-06-22,295.91720267888763
2017-06-23,295.01339705059587
2017-06-24,293.4868279225692
2017-06-25,292.43708886765785
2017-06-26,292.087493560798
2017-06-27,291.45644917600373
2017-06-28,291.7583975389107
2017-06-29,290.8101758369875
2017-06-30,290.094211910801
2017-07-01,289.2762964315747
2017-07-02,288.8779131996963
2017-07-03,289.50312297928883
2017-07-04,290.3617226140031
2017-07-05,291.63183917583825
2017-07-06,293.20560002366983
2017-07-07,294.38007593440227
2017-07-08,294.5308520865696
2017-07-09,294.04544218520095
2017-07-10,293.12335135526814
2017-07-11,292.087256335625
2017-07-12,290.6570636512072
2017-07-13,289.1948074961008
2017-07-14,288.8794373838857
2017-07-15,288.65919317894907
2017-07-16,289.6781488673984
2017-07-17,290.9634510480623
2017-07-18,292.3664574466882
2017-07-19,294.47293028563485
2017-07-20,294.1651852199021
2017-07-21,293.7481305953561
2017-07-22,293.66992405272686
2017-07-23,292.23772729549347
2017-07-24,290.1963185888754
2017-07-25,288.6405648500506
2017-07-26,288.6944594091667
2017-07-27,289.5250718413348
2017-07-28,289.9692256934262
2017-07-29,291.7081632526873
2017-07-30,293.6969703659083
2017-07-31,294.05407288394304
2017-08-01,294.2998174543063
2017-08-02,294.1847119783055
2017-08-03,294.4147522993975
2017-08-04,293.79469630385887
2017-08-05,292.5191519145099
2017-08-06,290.81352861646866
2017-08-07,290.68366094268606
2017-08-08,290.9205290351348
2017-08-09,291.0897670301796
2017-08-10,289.91316810478156
2017-08-11,288.55916583211484
2017-08-12,288.12106350068285
2017-08-13,288.93286954220196
2017-08-14,290.33743146752414
2017-08-15,292.3003583809266
2017-08-16,292.4540793569198
2017-08-17,292.74205964513624
2017-08-18,292.4988405680471
2017-08-19,290.3654616076261
2017-08-20,288.85898062311867
2017-08-21,288.2405811828617
2017-08-22,288.2527792243613
2017-08-23,289.40867296630717
2017-08-24,290.59427143691306
2017-08-25,291.32485649802305
2017-08-26,292.4076469116503
2017-08-27,292.23097260177616
2017-08-28,291.98346076008886
2017-08-29,292.92792803324335
2017-08-30,294.1006799204182
2017-08-31,291.9557168822551
2017-09-01,289.2018330227302
