DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CB_PEM(1.0),15/06/22 23:00:00,M,G3000,GWH,DE,2021-07,4974.114,e
ESTAT:NRG_CB_PEM(1.0),15/06/22 23:00:00,M,G3000,GWH,DE,2021-08,3844.675,e
ESTAT:NRG_CB_PEM(1.0),15/06/22 23:00:00,M,G3000,GWH,DE,2021-09,5012.896,e
ESTAT:NRG_CB_PEM(1.0),15/06/22 23:00:00,M,G3000,GWH,DE,2021-10,4937.277,e
ESTAT:NRG_CB_PEM(1.0),15/06/22 23:00:00,M,G3000,GWH,DE,2021-11,7986.409,e
ESTAT:NRG_CB_PEM(1.0),15/06/22 23:00:00,M,G3000,GWH,DE,2021-12,7848.549,e
ESTAT:NRG_CB_PEM(1.0),15/06/22 23:00:00,M,G3000,GWH,DE,2022-01,8120.754,e
ESTAT:NRG_CB_PEM(1.0),15/06/22 23:00:00,M,G3000,GWH,DE,2022-02,6272.237,e
ESTAT:NRG_CB_PEM(1.0),15/06/22 23:00:00,M,G3000,GWH,DE,2022-03,7839.294,e
ESTAT:NRG_CB_PEM(1.0),15/06/22 23:00:00,M,G3000,GWH,DE,2022-04,5694.971,e
