, gas pps [TWh_el/day],scaled_to_AGEBL_2020 [TWh_gas/day]
2020-01-01 00:00:00+01:00,0.11559650000000002,0.4085324688118679
2020-01-02 00:00:00+01:00,0.13278000000000004,0.4692611040026283
2020-01-03 00:00:00+01:00,0.10946075,0.38684796196682997
2020-01-04 00:00:00+01:00,0.10492174999999998,0.370806569053229
2020-01-05 00:00:00+01:00,0.13699499999999998,0.4841574404491643
2020-01-06 00:00:00+01:00,0.1965147500000001,0.6945076708676045
2020-01-07 00:00:00+01:00,0.21395425,0.7561410420323416
2020-01-08 00:00:00+01:00,0.20756200000000002,0.7335500321508776
2020-01-09 00:00:00+01:00,0.1828457499999999,0.646199717632087
2020-01-10 00:00:00+01:00,0.1727657499999999,0.6105757386567406
2020-01-11 00:00:00+01:00,0.16405750000000002,0.5797996955107033
2020-01-12 00:00:00+01:00,0.10692549999999999,0.37788807181829354
2020-01-13 00:00:00+01:00,0.1978749999999999,0.6993149642605815
2020-01-14 00:00:00+01:00,0.12539975000000003,0.44317837872159654
2020-01-15 00:00:00+01:00,0.11318500000000001,0.400009926619502
2020-01-16 00:00:00+01:00,0.19909849999999998,0.7036389660737103
2020-01-17 00:00:00+01:00,0.20038424999999999,0.7081829671617611
2020-01-18 00:00:00+01:00,0.15697325000000006,0.5547630711995827
2020-01-19 00:00:00+01:00,0.17438225000000007,0.6162886515549205
2020-01-20 00:00:00+01:00,0.2778265,0.9818735510708403
2020-01-21 00:00:00+01:00,0.29405849999999983,1.0392394664208222
2020-01-22 00:00:00+01:00,0.2960394999999999,1.0462405678444495
2020-01-23 00:00:00+01:00,0.30987299999999995,1.0951298846257447
2020-01-24 00:00:00+01:00,0.30109225,1.0640976174245769
2020-01-25 00:00:00+01:00,0.23662324999999992,0.8362561193529888
2020-01-26 00:00:00+01:00,0.17850950000000002,0.6308748685416264
2020-01-27 00:00:00+01:00,0.20717324999999998,0.7321761410966446
2020-01-28 00:00:00+01:00,0.15633675000000005,0.5525136007017842
2020-01-29 00:00:00+01:00,0.17263300000000006,0.6101065835764855
2020-01-30 00:00:00+01:00,0.14098425000000003,0.4982559481998987
2020-01-31 00:00:00+01:00,0.0,0.0
2020-02-01 00:00:00+01:00,0.0745895,0.26360860910531736
2020-02-02 00:00:00+01:00,0.0885305,0.31287784431318477
2020-02-03 00:00:00+01:00,0.13340124999999997,0.4714566790957267
2020-02-04 00:00:00+01:00,0.147934,0.5228172327121916
2020-02-05 00:00:00+01:00,0.23181999999999992,0.8192808339349995
2020-02-06 00:00:00+01:00,0.25872225,0.9143567454815783
2020-02-07 00:00:00+01:00,0.25817824999999994,0.9124341815368769
2020-02-08 00:00:00+01:00,0.15894874999999997,0.5617447349362685
2020-02-09 00:00:00+01:00,0.06679550000000004,0.23606363964759428
2020-02-10 00:00:00+01:00,0.09918275,0.3505242262616107
2020-02-11 00:00:00+01:00,0.09788375,0.34593339801865686
2020-02-12 00:00:00+01:00,0.10875200000000002,0.384343150945126
2020-02-13 00:00:00+01:00,0.17728125000000003,0.6265340796352308
2020-02-14 00:00:00+01:00,0.22176899999999994,0.7837593445817053
2020-02-15 00:00:00+01:00,0.09615950000000008,0.3398396831626808
2020-02-16 00:00:00+01:00,0.06540274999999998,0.2311414871954201
2020-02-17 00:00:00+01:00,0.10208474999999999,0.3607802567166162
2020-02-18 00:00:00+01:00,0.10537949999999997,0.3724243147254477
2020-02-19 00:00:00+01:00,0.15154774999999998,0.5355886765635961
2020-02-20 00:00:00+01:00,0.16207549999999998,0.5727950599621777
2020-02-21 00:00:00+01:00,0.11599374999999995,0.40993639992773634
2020-02-22 00:00:00+01:00,0.06588200000000002,0.23283521655295347
2020-02-23 00:00:00+01:00,0.06663,0.23547874197691757
2020-02-24 00:00:00+01:00,0.13817600000000002,0.4883312419541133
2020-02-25 00:00:00+01:00,0.12297824999999996,0.43462049528024693
2020-02-26 00:00:00+01:00,0.19698449999999995,0.6961678260386028
2020-02-27 00:00:00+01:00,0.24289749999999993,0.8584301024964479
2020-02-28 00:00:00+01:00,0.19230325,0.6796237038582121
2020-02-29 00:00:00+01:00,0.0,0.0
2020-03-01 00:00:00+01:00,0.07871349999999999,0.27818334018610386
2020-03-02 00:00:00+01:00,0.19795774999999996,0.69960741309592
2020-03-03 00:00:00+01:00,0.24319049999999998,0.8594656010916639
2020-03-04 00:00:00+01:00,0.2506059999999999,0.8856729042753622
2020-03-05 00:00:00+01:00,0.2191662499999999,0.7745609010025302
2020-03-06 00:00:00+01:00,0.20418675000000003,0.721621477087729
2020-03-07 00:00:00+01:00,0.1612957499999999,0.5700393260726907
2020-03-08 00:00:00+01:00,0.09195574999999996,0.32498310562125066
2020-03-09 00:00:00+01:00,0.21537950000000006,0.761178053543712
2020-03-10 00:00:00+01:00,0.13389775,0.47321137210775654
2020-03-11 00:00:00+01:00,0.13363699999999998,0.47228984904051224
2020-03-12 00:00:00+01:00,0.102998,0.3640077962800324
2020-03-13 00:00:00+01:00,0.12137025000000001,0.4289376224437038
2020-03-14 00:00:00+01:00,0.12917600000000007,0.4565241178689828
2020-03-15 00:00:00+01:00,0.08642725,0.30544469612073466
2020-03-16 00:00:00+01:00,0.17377099999999995,0.614128417710805
2020-03-17 00:00:00+01:00,0.17974400000000001,0.6352377457286369
2020-03-18 00:00:00+01:00,0.11464274999999996,0.4051617971900684
2020-03-19 00:00:00+01:00,0.18616825,0.657941847606848
2020-03-20 00:00:00+01:00,0.13916300000000006,0.4918194232287828
2020-03-21 00:00:00+01:00,0.07552449999999997,0.26691301588527244
